"Genotypes","Trait1","Trait2"
"G1",118.812585528612,20.7641592295267
"G2",110.389986294833,19.9217649685889
"G3",102.237350763242,21.1475927603088
"G4",109.400961460814,13.6881081479699
"G5",111.426960746271,11.0412342863236
"G6",100.351559756818,21.1684218959106
"G7",100.856903692843,20.0574069825763
"G8",102.063585353386,18.6168905454732
"G9",100.324747973108,20.2552001628773
"G10",106.926970527906,13.6264929366636
"G11",102.232860899264,17.7124162032128
"G12",96.2454343201205,22.8357436049648
"G13",96.1575887198207,22.1427457048819
"G14",102.073226443324,16.1043836784122
"G15",104.921801935202,12.7861313849176
"G16",99.5161264484061,17.4464800890303
"G17",91.6829968668989,24.9209447474958
"G18",97.860371171528,18.4971662214051
"G19",99.8684177709534,16.3924581591434
"G20",95.4311984600322,20.5481055030369
"G21",99.5399033353318,16.3716113186419
"G22",95.9163105422916,19.6410005428683
"G23",90.002086813282,24.9567184707586
"G24",100.73330929448,13.9499151748856
"G25",93.6655990156178,20.1515408737269
"G26",94.1224782125782,19.348017354745
"G27",93.9056299798594,19.3900478432633
"G28",98.1991277872559,14.8810039445045
"G29",92.6982965055706,19.8420831627678
"G30",90.1997664291562,21.6883620843949
"G31",95.4145160271454,16.3121318396157
"G32",92.7147719550429,18.6825016316847
"G33",88.0186995538737,23.3044171550054
"G34",94.7126856268541,16.4590920294016
"G35",92.6234794683462,17.913690599269
"G36",92.8960185444516,17.4847989405665
"G37",89.6699081978566,20.3002954668393
"G38",94.332324161881,15.3152289576671
"G39",91.2151695175489,17.7103387338289
"G40",89.500206540004,19.2296895424338
"G41",95.7829875497429,12.4855129416594
"G42",90.6945808146048,17.3925151370725
"G43",92.2982859557956,15.60142419144
"G44",91.2989656625977,16.4774923206562
"G45",85.084935904549,22.5444844759679
"G46",94.3485074270864,13.2047515691696
"G47",99.8448798564496,7.7012639845003
"G48",93.2303794241299,14.2079801156377
"G49",94.1019282547855,13.084873721567
"G50",93.9554410047978,12.9933174460131
"G51",85.9329413233715,20.9832531041381
"G52",77.2081699123589,29.4224042980063
"G53",90.8485736914832,15.2761383674976
"G54",97.7877499365928,8.22073151908064
"G55",93.8229201791139,12.1854259477947
"G56",88.704409927612,17.2283135023247
"G57",92.1251269700016,13.5858589716501
"G58",88.4593330756419,17.2473958133899
"G59",93.0329664665887,12.64285658908
"G60",89.1106164913976,16.4901791210098
"G61",83.9598202478454,21.522785710342
"G62",89.3005390366928,15.8547997466807
"G63",87.1700168821514,17.9438598818856
"G64",83.6691212760261,21.4387092970142
"G65",85.6068058656099,19.3610526680525
"G66",88.6200625405142,16.3459231056213
"G67",85.8965817967124,19.0210550939763
"G68",80.3260790111006,24.5058135712671
"G69",90.3166820181734,14.3385473585516
"G70",90.185352360039,14.4305371972589
"G71",85.5883215500071,18.9831205544303
"G72",92.0300056051878,12.4481160777073
"G73",88.7520670310003,15.6828566295873
"G74",78.0188027828199,25.9136255298132
"G75",92.212458872753,11.5454344512896
"G76",84.865638308579,18.8452428612144
"G77",90.9010158734861,12.7541747371552
"G78",81.3343188545117,22.2245128035281
"G79",76.6528000644862,26.2739967646617
"G80",84.5203361100298,18.276047713947
"G81",86.3717174766776,16.3183801735467
"G82",80.3102733067865,22.1242298870469
"G83",84.0352915580294,18.3771406266509
"G84",92.3744413381761,10.0328919372854
"G85",89.3387952676329,13.0515296211575
"G86",87.9134955637386,14.4516379365688
"G87",84.3455307721294,17.7131546832082
"G88",86.6330832783776,15.082836916612
"G89",81.2077893166454,20.5010967514748
"G90",89.5753562283082,12.1295614795476
"G91",85.6745870186192,15.9688422967772
"G92",81.6280368127357,19.9471061854258
"G93",87.3039099831593,14.1985633552965
"G94",82.8103718672575,18.5844734046068
"G95",84.072491452714,17.2789816242804
"G96",81.006242679868,20.1805062381463
"G97",77.2476169004528,23.8513653499526
"G98",80.5307204549681,20.5462230542652
"G99",83.5356899282729,17.344021738589
"G100",83.0220520481002,17.506606032389
